Country Name,Confirmed Values,Deaths
US,3017,43
US,5887,106
US,2964,49
US,10113,139
US,4652,160
US,20964,230
US,2416,46
US,127945,1322
US,6456,107
US,37142,395
US,2852,49
US,2562,53
US,39338,587
US,7125,84
US,5714,123
US,8565,110
US,3702,80
US,33605,0
US,11292,204
US,4340,67
US,80947,709
US,27120,340
US,2274,33
US,7596,118
US,402160,2192
US,143,0
US,11553,99
US,51967,487
US,9650,140
US,5346,22
US,295633,1559
US,8405,60
US,39170,245
US,329460,3001
US,7811,58
US,29324,170
US,88972,978
US,6072,63
US,310792,2625
US,67356,481
US,14941,157
US,11319,66
US,3710586,35545
US,55217,388
US,54908,317
US,4545,42
US,21739,143
US,89409,903
US,1327,11
US,3633,8
US,122120,804
US,35992,170
US,22495,133
US,788663,7971
US,0,0
US,91376,682
US,4290,15
US,776620,6853
US,409095,3719
US,18800,117
US,745179,8170
US,1067659,5799
US,209846,1178
US,227031,2421
US,74632,561
US,194587,912
US,119952,763
US,497526,2727
US,72428,276
US,44785,607
US,372,5
US,8908,96
US,122718,482
US,119546,556
US,168343,1845
US,28309,241
US,17875,234
US,1981,24
US,168754,1578
US,17914,203
US,4384,0
US,239184,1679
US,54973,443
US,21924,135
US,166371,1466
US,5953,68
US,197066,1368
US,3534,24
US,1027,17
US,3004,50
US,91179,447
US,18376,133
US,5662,56
US,392,12
US,1931,13
US,2303,58
US,961,19
US,3558,33
US,837,23
US,7202,161
US,224919,1524
US,424,8
US,100968,498
US,18833,39
US,237195,1904
US,5836,48
US,18767,210
US,18041,104
US,1171,7
US,4053,30
US,3970,16
US,161,0
US,1764,41
US,195,0
US,160677,1554
US,392,6
US,1877,32
US,15836,99
US,2203,2
US,109313,606
US,4408,51
US,2382,11
US,8661,119
US,51841,639
US,303,4
US,3738,55
US,7673,90
US,11179,183
US,6973,148
US,5320,137
US,1118,6
US,0,0
US,3499,24
US,1123,20
US,8081,9
US,3226,52
US,61961,880
US,2236,15
US,3634,47
US,7882,34
US,1524,12
US,316,0
US,2713,8
US,582,12
US,12072,15
US,5913,67
US,261,25
US,1262,35
US,106227,780
US,2342,27
US,264399,3017
US,237105,3494
US,41816,532
US,38840,547
US,257919,3165
US,73980,784
US,27913,317
US,3271,9
US,31414,355
US,64447,724
US,186969,1608
US,78267,992
US,1110,0
US,49,0
US,177945,1432
US,89806,833
US,10746,154
US,56189,894
US,9245,177
US,175277,2513
US,774980,6770
US,4939,111
US,48860,1009
